st,ttr,rid
1753195662.4023035,0.37746286392211914,1
1753195668.7333999,0.3578662872314453,2
1753195675.678061,0.3664684295654297,3
1753195683.627409,0.3422064781188965,4
1753195690.0591986,0.3561244010925293,5
1753195696.5095234,0.3579418659210205,6
1753195703.2648087,0.3610227108001709,7
1753195709.8191786,0.3640294075012207,8
1753195716.2981892,0.3637392520904541,9
1753195722.9257588,0.3699636459350586,10
1753195730.7626739,0.3631572723388672,11
1753195737.3693867,0.3583669662475586,12
1753195743.8802397,0.3481729030609131,13
1753195750.4785829,0.3760652542114258,14
1753195756.9919932,0.3569002151489258,15
